,0,1
0,2440,2441
1,2440,2449
2,2440,1709
3,2440,1711
4,2440,1714
5,2440,22075
6,2440,4030
7,2440,4031
8,2440,85
9,2440,1640
10,2440,114
11,2440,116
12,2440,118
13,2440,2038
14,2440,378
15,2441,2449
16,2441,1709
17,2441,1711
18,2441,1714
19,2441,22075
20,2441,4030
21,2441,4031
22,2441,85
23,2441,1640
24,2441,114
25,2441,116
26,2441,118
27,2441,2038
28,2441,378
29,2449,1709
30,2449,1711
31,2449,1714
32,2449,22075
33,2449,4030
34,2449,4031
35,2449,85
36,2449,1640
37,2449,114
38,2449,116
39,2449,118
40,2449,2038
41,2449,378
42,1709,1711
43,1709,1714
44,1709,22075
45,1709,4030
46,1709,4031
47,1709,85
48,1709,1640
49,1709,114
50,1709,116
51,1709,118
52,1709,2038
53,1709,378
54,1711,1714
55,1711,22075
56,1711,4030
57,1711,4031
58,1711,85
59,1711,1640
60,1711,114
61,1711,116
62,1711,118
63,1711,2038
64,1711,378
65,1714,22075
66,1714,4030
67,1714,4031
68,1714,85
69,1714,1640
70,1714,114
71,1714,116
72,1714,118
73,1714,2038
74,1714,378
75,22075,4030
76,22075,4031
77,22075,85
78,22075,1640
79,22075,114
80,22075,116
81,22075,118
82,22075,2038
83,22075,378
84,4030,4031
85,4030,85
86,4030,1640
87,4030,114
88,4030,116
89,4030,118
90,4030,2038
91,4030,378
92,4031,85
93,4031,1640
94,4031,114
95,4031,116
96,4031,118
97,4031,2038
98,4031,378
99,85,1640
100,85,114
101,85,116
102,85,118
103,85,2038
104,85,378
105,1640,114
106,1640,116
107,1640,118
108,1640,2038
109,1640,378
110,114,116
111,114,118
112,114,2038
113,114,378
114,116,118
115,116,2038
116,116,378
117,118,2038
118,118,378
119,2038,378
120,17287,17419
121,17287,2206
122,17287,2983
123,17287,5293
124,17287,21044
125,17287,57675
126,17287,8785
127,17287,19159
128,17287,118617
129,17287,60900
130,17419,2206
131,17419,2983
132,17419,5293
133,17419,21044
134,17419,57675
135,17419,8785
136,17419,19159
137,17419,118617
138,17419,60900
139,2206,2983
140,2206,5293
141,2206,21044
142,2206,57675
143,2206,8785
144,2206,19159
145,2206,118617
146,2206,60900
147,2983,5293
148,2983,21044
