,vote_average,genre_name_disc,profit,gender,id,name
0,6.5,Action,240000000.0,2,2231,Samuel L. Jackson
1,7.0,Drama,130000000.0,2,1892,Matt Damon
2,7.0,Drama,70000000.0,2,380,Robert De Niro
3,7.0,Action,170000000.0,2,192,Morgan Freeman
4,6.5,Adventure,150000000.0,2,85,Johnny Depp
5,6.5,Action,120000000.0,2,62,Bruce Willis
6,6.5,Action,170000000.0,2,3896,Liam Neeson
7,7.0,Drama,130000000.0,2,287,Brad Pitt
8,6.5,Comedy,110000000.0,2,884,Steve Buscemi
9,6.5,Comedy,100000000.0,2,388,Jim Broadbent
10,6.5,Comedy,160000000.0,2,19278,Bill Hader
11,6.5,Drama,210000000.0,2,500,Tom Cruise
12,6.5,Comedy,80000000.0,2,1532,Bill Murray
13,6.0,Action,130000000.0,2,3131,Antonio Banderas
14,7.0,Comedy,240000000.0,2,31,Tom Hanks
15,6.5,Drama,100000000.0,2,1461,George Clooney
16,7.0,Drama,120000000.0,2,1233,Philip Seymour Hoffman
17,6.5,Action,70000000.0,2,1248,Brian Cox
18,6.5,Action,480000000.0,2,7624,Stan Lee
19,6.0,Comedy,120000000.0,2,887,Owen Wilson
20,6.5,Comedy,110000000.0,2,13242,Paul Giamatti
21,6.5,Comedy,110000000.0,2,3061,Ewan McGregor
22,6.0,Comedy,200000000.0,1,6941,Cameron Diaz
23,6.0,Action,120000000.0,2,1100,Arnold Schwarzenegger
24,6.5,Comedy,140000000.0,2,19274,Seth Rogen
25,6.0,Comedy,120000000.0,2,22226,Paul Rudd
26,7.0,Drama,150000000.0,2,5293,Willem Dafoe
27,6.5,Adventure,150000000.0,2,6968,Hugh Jackman
28,6.5,Drama,160000000.0,2,57755,Woody Harrelson
29,6.5,Drama,180000000.0,2,103,Mark Ruffalo
30,6.5,Drama,90000000.0,1,5064,Meryl Streep
31,6.5,Drama,150000000.0,2,1230,John Goodman
32,6.5,Drama,110000000.0,2,2440,Bill Nighy
33,7.0,Adventure,290000000.0,1,112,Cate Blanchett
34,6.5,Comedy,160000000.0,1,10205,Sigourney Weaver
35,6.5,Drama,90000000.0,2,207,Tom Wilkinson
36,7.0,Adventure,190000000.0,2,3,Harrison Ford
37,6.5,Comedy,130000000.0,2,21007,Jonah Hill
38,6.5,Drama,210000000.0,2,2283,Stanley Tucci
39,6.0,Comedy,70000000.0,2,15033,Justin Long
40,6.5,Action,260000000.0,2,64,Gary Oldman
41,6.5,Drama,140000000.0,2,2282,Ben Kingsley
42,6.5,Drama,90000000.0,1,1231,Julianne Moore
43,6.5,Drama,100000000.0,2,7447,Alec Baldwin
44,6.5,Drama,250000000.0,1,1245,Scarlett Johansson
45,6.5,Comedy,140000000.0,2,70851,Jack Black
46,6.5,Drama,130000000.0,1,1204,Julia Roberts
47,6.5,Drama,120000000.0,2,38673,Channing Tatum
48,6.5,Drama,200000000.0,1,5309,Judi Dench
49,6.5,Comedy,90000000.0,2,4690,Christopher Walken
50,6.0,Action,90000000.0,2,2963,Nicolas Cage
51,6.5,Drama,70000000.0,2,9642,Jude Law
52,6.5,Drama,70000000.0,2,4764,John C. Reilly
53,6.5,Adventure,340000000.0,2,15831,Frank Welker
54,7.0,Drama,130000000.0,2,3894,Christian Bale
55,6.0,Comedy,80000000.0,2,23659,Will Ferrell
56,6.5,Drama,160000000.0,2,18999,J.K. Simmons
57,6.5,Comedy,120000000.0,2,206,Jim Carrey
58,6.5,Comedy,110000000.0,2,17401,Stephen Root
59,6.5,Drama,150000000.0,2,2975,Laurence Fishburne
60,6.5,Action,70000000.0,2,65827,Keith David
61,6.5,Comedy,150000000.0,2,2157,Robin Williams
62,6.5,Comedy,40000000.0,1,2229,Catherine Keener
63,6.5,Comedy,200000000.0,1,41091,Kristen Wiig
64,6.5,Drama,70000000.0,1,19492,Viola Davis
65,6.0,Comedy,90000000.0,2,23532,Jason Bateman
66,6.5,Adventure,210000000.0,2,48,Sean Bean
67,6.5,Comedy,150000000.0,2,880,Ben Affleck
68,6.5,Drama,110000000.0,2,4173,Anthony Hopkins
69,6.5,Drama,160000000.0,1,524,Natalie Portman
70,6.5,Drama,220000000.0,1,1813,Anne Hathaway
71,6.0,Comedy,120000000.0,2,10859,Ryan Reynolds
72,6.5,Drama,170000000.0,2,2039,Brendan Gleeson
73,6.5,Action,180000000.0,2,53650,Anthony Mackie
74,6.5,Action,160000000.0,2,17051,James Franco
75,6.5,Comedy,140000000.0,1,19,Allison Janney
76,6.5,Action,110000000.0,2,976,Jason Statham
77,6.5,Adventure,310000000.0,2,6162,Paul Bettany
78,6.0,Drama,20000000.0,1,4038,Susan Sarandon
