,name,id,gender,genre_id_disc,vote_average,profit
0,Samuel L. Jackson,2231,2,80,6.5,160000000.0
1,Robert De Niro,380,2,80,6.5,50000000.0
2,Bruce Willis,62,2,80,6.0,90000000.0
3,Matt Damon,1892,2,18,6.5,100000000.0
4,Morgan Freeman,192,2,18,6.5,140000000.0
5,Steve Buscemi,884,2,35,6.5,80000000.0
6,Liam Neeson,3896,2,12,6.5,150000000.0
7,Owen Wilson,887,2,35,6.0,100000000.0
8,Johnny Depp,85,2,18,6.5,140000000.0
9,Nicolas Cage,2963,2,80,6.0,60000000.0
10,Alec Baldwin,7447,2,18,6.5,70000000.0
11,John Goodman,1230,2,35,6.5,100000000.0
12,Stanley Tucci,2283,2,18,6.5,130000000.0
13,Brad Pitt,287,2,18,6.5,120000000.0
14,Jim Broadbent,388,2,18,6.5,80000000.0
15,Willem Dafoe,5293,2,18,6.5,110000000.0
16,Paul Giamatti,13242,2,18,6.5,90000000.0
17,Will Ferrell,23659,2,35,6.0,60000000.0
18,Richard Jenkins,28633,2,18,6.0,50000000.0
19,Susan Sarandon,4038,1,18,6.0,20000000.0
20,Keith David,65827,2,18,6.0,50000000.0
21,Bill Murray,1532,2,18,6.5,80000000.0
22,Christopher Walken,4690,2,80,6.5,60000000.0
23,J.K. Simmons,18999,2,18,6.0,110000000.0
24,Bill Hader,19278,2,35,6.0,150000000.0
25,Paul Rudd,22226,2,35,6.0,90000000.0
26,Jack Black,70851,2,35,6.0,110000000.0
27,David Koechner,28638,2,35,5.5,20000000.0
28,Ben Kingsley,2282,2,18,6.0,90000000.0
29,George Clooney,1461,2,18,6.5,90000000.0
30,Justin Long,15033,2,35,5.5,70000000.0
31,Anthony Hopkins,4173,2,18,6.5,70000000.0
32,Robin Williams,2157,2,18,6.5,110000000.0
33,Laurence Fishburne,2975,2,53,6.5,100000000.0
34,Sigourney Weaver,10205,1,18,6.0,120000000.0
35,Julia Roberts,1204,1,18,6.0,100000000.0
36,Brian Cox,1248,2,18,6.5,60000000.0
37,Ben Stiller,7399,2,35,6.0,140000000.0
38,Tom Cruise,500,2,18,6.5,200000000.0
39,William H. Macy,3905,2,18,6.5,40000000.0
40,Arnold Schwarzenegger,1100,2,28,6.0,110000000.0
41,Tom Hanks,31,2,18,7.0,210000000.0
42,Sylvester Stallone,16483,2,35,6.0,80000000.0
43,Harrison Ford,3,2,18,6.5,160000000.0
44,Christopher Plummer,290,2,18,6.5,60000000.0
45,John C. Reilly,4764,2,18,6.5,60000000.0
46,Frank Welker,15831,2,16,6.5,250000000.0
47,Michael Shannon,335,2,18,6.0,60000000.0
48,Cate Blanchett,112,1,18,7.0,230000000.0
49,Mark Wahlberg,13240,2,80,6.5,110000000.0
50,Denzel Washington,5292,2,18,6.5,60000000.0
51,Woody Harrelson,57755,2,80,6.5,130000000.0
52,Cameron Diaz,6941,1,35,6.0,170000000.0
53,John Hurt,5049,2,18,6.5,70000000.0
54,Luis Guzmán,40481,2,80,6.0,60000000.0
55,Antonio Banderas,3131,2,35,6.0,120000000.0
56,Philip Seymour Hoffman,1233,2,18,7.0,110000000.0
57,Julianne Moore,1231,1,18,6.5,70000000.0
58,Donald Sutherland,55636,2,80,6.5,110000000.0
59,Forest Whitaker,2178,2,80,6.5,50000000.0
60,Judi Dench,5309,1,18,6.5,170000000.0
61,John Travolta,8891,2,80,6.0,60000000.0
62,Tom Wilkinson,207,2,18,6.5,70000000.0
63,Stephen Root,17401,2,35,6.0,90000000.0
