,0,1
0,56448,98215
1,15376,98215
2,6807,98215
3,1196960,98215
4,10884,98215
5,19208,98215
6,30485,42286
7,29214,42286
8,3713,42286
9,204,42286
10,3234,42286
11,32,42286
12,18286,42286
13,13924,42286
14,98215,68278
15,3223,68278
16,1077782,68278
17,208296,68278
18,112692,68278
19,117654,68278
20,15232,68278
21,9831,68278
22,41089,68278
23,87575,68278
24,87575,68278
25,819,68278
26,1462,68278
27,17289,68278
28,37168,68278
29,18461,68278
30,20806,68278
31,17290,68278
32,110,68278
33,5892,68278
34,4139,68278
35,207881,68278
36,18325,68278
37,21798,68278
38,193040,68278
39,98215,65731
40,68278,65731
41,3896,65731
42,17051,65731
43,53650,65731
44,50217,65731
45,6413,65731
46,6573,65731
47,131,65731
48,94864,65731
49,94864,65731
50,15498,65731
51,6195,65731
52,946696,65731
53,2957,65731
54,37168,65731
55,3211,65731
56,26291,65731
57,12833,65731
58,28033,65731
59,5090,65731
60,59671,65731
61,4606,65731
62,98215,42317
63,68278,42317
64,65731,42317
65,74568,42317
66,44735,42317
67,53807,42317
68,30315,42317
69,1295,42317
70,24362,42317
71,51990,42317
72,37625,42317
73,21028,42317
74,21089,42317
75,162924,42317
76,62064,42317
77,56448,42317
78,27811,42317
79,1749,42317
80,68842,42317
81,52762,42317
82,27031,42317
83,129868,42317
84,572541,42317
85,6858,42317
86,15111,42317
87,29068,42317
88,4787,42317
89,14888,42317
90,17421,42317
91,75344,42317
92,97944,42317
93,1210,42317
94,1539,42317
95,558466,42317
96,467645,42317
97,16460,42317
98,98215,10964
99,68278,10964
100,65731,10964
101,42317,10964
102,17605,10964
103,17839,10964
104,150194,10964
105,28846,10964
106,17697,10964
107,134,10964
108,2955,10964
109,133,10964
110,131,10964
111,18792,10964
112,352,10964
113,4512,10964
114,15543,10964
115,61962,10964
116,10862,10964
117,15760,10964
118,945062,10964
119,25544,10964
120,51944,10964
121,31512,10964
122,56675,10964
123,459980,10964
124,31136,10964
125,31136,10964
126,31136,10964
127,30485,10205
128,42286,10205
129,1480130,10205
130,18997,10205
131,550843,10205
132,10990,10205
133,8786,10205
134,12052,10205
135,3981,10205
136,15250,10205
137,20750,10205
138,1812,10205
139,24358,10205
140,35159,10205
141,11074,10205
142,56322,10205
143,49,10205
144,51072,10205
145,60739,10205
146,7404,10205
147,41091,10205
148,41091,10205
149,51992,10205
150,1294,10205
151,3897,10205
152,40462,10205
153,34983,10205
154,20,10205
155,31714,10205
156,1920,10205
157,1989,10205
158,11148,10205
159,56323,10205
160,52775,10205
161,1956,10205
162,6886,10205
163,18277,10205
164,20810,10205
165,4432,10205
166,3092,10205
167,8944,10205
168,10401,10205
169,8256,10205
170,70175,10205
171,33259,10205
172,4496,10205
