,0,1
0,30485,98215
1,30485,42286
2,30485,68278
3,30485,65731
4,30485,42317
5,30485,10964
6,30485,10205
7,30485,59231
8,30485,32747
9,30485,1771
10,30485,15853
11,30485,17647
12,30485,8691
13,98215,42286
14,98215,68278
15,98215,65731
16,98215,42317
17,98215,10964
18,98215,10205
19,98215,59231
20,98215,32747
21,98215,1771
22,98215,15853
23,98215,17647
24,98215,8691
25,42286,68278
26,42286,65731
27,42286,42317
28,42286,10964
29,42286,10205
30,42286,59231
31,42286,32747
32,42286,1771
33,42286,15853
34,42286,17647
35,42286,8691
36,68278,65731
37,68278,42317
38,68278,10964
39,68278,10205
40,68278,59231
41,68278,32747
42,68278,1771
43,68278,15853
44,68278,17647
45,68278,8691
46,65731,42317
47,65731,10964
48,65731,10205
49,65731,59231
50,65731,32747
51,65731,1771
52,65731,15853
53,65731,17647
54,65731,8691
55,42317,10964
56,42317,10205
57,42317,59231
58,42317,32747
59,42317,1771
60,42317,15853
61,42317,17647
62,42317,8691
63,10964,10205
64,10964,59231
65,10964,32747
66,10964,1771
67,10964,15853
68,10964,17647
69,10964,8691
70,10205,59231
71,10205,32747
72,10205,1771
73,10205,15853
74,10205,17647
75,10205,8691
76,59231,32747
77,59231,1771
78,59231,15853
79,59231,17647
80,59231,8691
81,32747,1771
82,32747,15853
83,32747,17647
84,32747,8691
85,1771,15853
86,1771,17647
87,1771,8691
88,15853,17647
89,15853,8691
90,17647,8691
91,2440,2441
92,2440,2449
93,2440,2452
94,2440,1709
95,2440,1711
96,2440,1714
97,2440,1715
98,2440,22075
99,2440,4030
100,2440,4031
101,2440,1619
102,2440,85
103,2440,33500
104,2440,1640
105,2440,114
106,2440,116
107,2440,1056117
108,2440,118
109,2440,2038
110,2440,378
111,2441,2449
112,2441,2452
113,2441,1709
114,2441,1711
115,2441,1714
116,2441,1715
117,2441,22075
118,2441,4030
119,2441,4031
120,2441,1619
121,2441,85
122,2441,33500
123,2441,1640
124,2441,114
125,2441,116
126,2441,1056117
127,2441,118
128,2441,2038
129,2441,378
130,2449,2452
131,2449,1709
132,2449,1711
133,2449,1714
134,2449,1715
135,2449,22075
136,2449,4030
137,2449,4031
138,2449,1619
139,2449,85
140,2449,33500
141,2449,1640
142,2449,114
143,2449,116
144,2449,1056117
145,2449,118
146,2449,2038
147,2449,378
148,2452,1709
149,2452,1711
150,2452,1714
151,2452,1715
152,2452,22075
153,2452,4030
154,2452,4031
155,2452,1619
156,2452,85
157,2452,33500
158,2452,1640
159,2452,114
160,2452,116
161,2452,1056117
162,2452,118
163,2452,2038
164,2452,378
165,1709,1711
166,1709,1714
167,1709,1715
168,1709,22075
169,1709,4030
170,1709,4031
171,1709,1619
172,1709,85
173,1709,33500
174,1709,1640
175,1709,114
176,1709,116
177,1709,1056117
178,1709,118
179,1709,2038
180,1709,378
181,1711,1714
182,1711,1715
183,1711,22075
184,1711,4030
185,1711,4031
186,1711,1619
187,1711,85
188,1711,33500
189,1711,1640
190,1711,114
191,1711,116
192,1711,1056117
193,1711,118
194,1711,2038
195,1711,378
196,1714,1715
197,1714,22075
198,1714,4030
199,1714,4031
200,1714,1619
201,1714,85
202,1714,33500
203,1714,1640
204,1714,114
205,1714,116
206,1714,1056117
207,1714,118
208,1714,2038
209,1714,378
210,1715,22075
211,1715,4030
212,1715,4031
213,1715,1619
214,1715,85
215,1715,33500
216,1715,1640
217,1715,114
218,1715,116
219,1715,1056117
220,1715,118
221,1715,2038
222,1715,378
223,22075,4030
224,22075,4031
225,22075,1619
226,22075,85
227,22075,33500
228,22075,1640
229,22075,114
230,22075,116
231,22075,1056117
232,22075,118
233,22075,2038
234,22075,378
235,4030,4031
236,4030,1619
237,4030,85
238,4030,33500
239,4030,1640
240,4030,114
241,4030,116
242,4030,1056117
243,4030,118
244,4030,2038
245,4030,378
246,4031,1619
247,4031,85
248,4031,33500
249,4031,1640
250,4031,114
251,4031,116
252,4031,1056117
253,4031,118
254,4031,2038
255,4031,378
256,1619,85
257,1619,33500
258,1619,1640
259,1619,114
260,1619,116
261,1619,1056117
262,1619,118
263,1619,2038
264,1619,378
265,85,33500
266,85,1640
267,85,114
268,85,116
269,85,1056117
270,85,118
271,85,2038
272,85,378
273,33500,1640
274,33500,114
275,33500,116
276,33500,1056117
277,33500,118
278,33500,2038
279,33500,378
280,1640,114
281,1640,116
282,1640,1056117
283,1640,118
284,1640,2038
285,1640,378
286,114,116
287,114,1056117
288,114,118
289,114,2038
290,114,378
291,116,1056117
292,116,118
293,116,2038
294,116,378
295,1056117,118
296,1056117,2038
297,1056117,378
298,118,2038
299,118,378
300,2038,378
301,139549,17064
302,139549,543530
303,139549,27319
304,139549,121529
305,139549,5309
306,139549,2244
307,139549,8784
308,139549,5469
309,139549,28782
310,139549,2038
311,17064,543530
312,17064,27319
313,17064,121529
314,17064,5309
315,17064,2244
316,17064,8784
317,17064,5469
318,17064,28782
319,17064,2038
320,543530,27319
321,543530,121529
322,543530,5309
323,543530,2244
324,543530,8784
325,543530,5469
326,543530,28782
327,543530,2038
328,27319,121529
329,27319,5309
330,27319,2244
331,27319,8784
332,27319,5469
333,27319,28782
334,27319,2038
335,121529,5309
336,121529,2244
337,121529,8784
338,121529,5469
339,121529,28782
340,121529,2038
341,5309,2244
342,5309,8784
343,5309,5469
344,5309,28782
345,5309,2038
346,2244,8784
347,2244,5469
348,2244,28782
349,2244,2038
350,8784,5469
351,8784,28782
352,8784,2038
353,5469,28782
354,5469,2038
355,28782,2038
356,21505,53252
357,21505,77335
358,21505,535
359,21505,539
360,21505,1580574
361,21505,22075
362,21505,64
363,21505,125025
364,21505,8293
365,21505,40039
366,21505,20582
367,21505,15011
368,21505,192
369,21505,6365
370,21505,36594
371,21505,1813
372,21505,1098036
373,21505,3894
374,21505,3895
375,21505,3896
376,21505,83271
377,21505,21416
378,21505,941
379,21505,10689
380,21505,1480130
381,21505,16841
382,21505,8654
383,21505,2524
384,21505,24045
385,21505,2037
386,21505,20469
387,21505,8191
388,53252,77335
389,53252,535
390,53252,539
391,53252,1580574
392,53252,22075
393,53252,64
394,53252,125025
395,53252,8293
396,53252,40039
397,53252,20582
398,53252,15011
399,53252,192
400,53252,6365
401,53252,36594
402,53252,1813
403,53252,1098036
404,53252,3894
405,53252,3895
406,53252,3896
407,53252,83271
408,53252,21416
409,53252,941
410,53252,10689
411,53252,1480130
412,53252,16841
413,53252,8654
414,53252,2524
415,53252,24045
416,53252,2037
417,53252,20469
418,53252,8191
419,77335,535
420,77335,539
421,77335,1580574
422,77335,22075
423,77335,64
424,77335,125025
425,77335,8293
426,77335,40039
427,77335,20582
428,77335,15011
429,77335,192
430,77335,6365
431,77335,36594
432,77335,1813
433,77335,1098036
434,77335,3894
435,77335,3895
436,77335,3896
437,77335,83271
438,77335,21416
439,77335,941
440,77335,10689
441,77335,1480130
442,77335,16841
443,77335,8654
444,77335,2524
445,77335,24045
446,77335,2037
447,77335,20469
448,77335,8191
449,535,539
450,535,1580574
451,535,22075
452,535,64
453,535,125025
454,535,8293
455,535,40039
456,535,20582
457,535,15011
458,535,192
459,535,6365
460,535,36594
461,535,1813
462,535,1098036
463,535,3894
464,535,3895
465,535,3896
466,535,83271
467,535,21416
468,535,941
469,535,10689
470,535,1480130
471,535,16841
