,vote_average,genre_name_disc,profit,gender,id,name
0,6.5,Action,160000000.0,2,2231,Samuel L. Jackson
1,6.5,Drama,50000000.0,2,380,Robert De Niro
2,6.0,Action,90000000.0,2,62,Bruce Willis
3,6.5,Drama,100000000.0,2,1892,Matt Damon
4,6.5,Drama,140000000.0,2,192,Morgan Freeman
5,6.5,Comedy,80000000.0,2,884,Steve Buscemi
6,6.5,Action,150000000.0,2,3896,Liam Neeson
7,6.0,Comedy,100000000.0,2,887,Owen Wilson
8,6.5,Comedy,140000000.0,2,85,Johnny Depp
9,6.0,Action,60000000.0,2,2963,Nicolas Cage
10,6.5,Drama,70000000.0,2,7447,Alec Baldwin
11,6.5,Drama,100000000.0,2,1230,John Goodman
12,6.5,Comedy,130000000.0,2,2283,Stanley Tucci
13,6.5,Drama,120000000.0,2,287,Brad Pitt
14,6.5,Drama,80000000.0,2,388,Jim Broadbent
15,6.5,Drama,110000000.0,2,5293,Willem Dafoe
16,6.5,Comedy,90000000.0,2,13242,Paul Giamatti
17,6.0,Comedy,60000000.0,2,23659,Will Ferrell
18,6.0,Drama,50000000.0,2,28633,Richard Jenkins
19,6.0,Drama,20000000.0,1,4038,Susan Sarandon
20,6.0,Action,50000000.0,2,65827,Keith David
21,6.5,Comedy,80000000.0,2,1532,Bill Murray
22,6.5,Comedy,60000000.0,2,4690,Christopher Walken
23,6.0,Comedy,110000000.0,2,18999,J.K. Simmons
24,6.0,Comedy,150000000.0,2,19278,Bill Hader
25,6.0,Comedy,90000000.0,2,22226,Paul Rudd
26,6.0,Comedy,110000000.0,2,70851,Jack Black
27,5.5,Comedy,20000000.0,2,28638,David Koechner
28,6.0,Drama,90000000.0,2,2282,Ben Kingsley
29,6.5,Drama,90000000.0,2,1461,George Clooney
30,5.5,Comedy,70000000.0,2,15033,Justin Long
31,6.5,Drama,70000000.0,2,4173,Anthony Hopkins
32,6.5,Comedy,110000000.0,2,2157,Robin Williams
33,6.5,Drama,100000000.0,2,2975,Laurence Fishburne
34,6.0,Comedy,120000000.0,1,10205,Sigourney Weaver
35,6.0,Comedy,100000000.0,1,1204,Julia Roberts
36,6.5,Action,60000000.0,2,1248,Brian Cox
37,6.0,Comedy,140000000.0,2,7399,Ben Stiller
38,6.5,Drama,200000000.0,2,500,Tom Cruise
39,6.5,Drama,40000000.0,2,3905,William H. Macy
40,6.0,Action,110000000.0,2,1100,Arnold Schwarzenegger
41,7.0,Comedy,210000000.0,2,31,Tom Hanks
42,6.0,Action,80000000.0,2,16483,Sylvester Stallone
43,6.5,Adventure,160000000.0,2,3,Harrison Ford
44,6.5,Drama,60000000.0,2,290,Christopher Plummer
45,6.5,Drama,60000000.0,2,4764,John C. Reilly
46,6.5,Adventure,250000000.0,2,15831,Frank Welker
47,6.0,Drama,60000000.0,2,335,Michael Shannon
48,7.0,Drama,230000000.0,1,112,Cate Blanchett
49,6.5,Action,110000000.0,2,13240,Mark Wahlberg
50,6.5,Drama,60000000.0,2,5292,Denzel Washington
51,6.5,Comedy,130000000.0,2,57755,Woody Harrelson
52,6.0,Comedy,170000000.0,1,6941,Cameron Diaz
53,6.5,Drama,70000000.0,2,5049,John Hurt
54,6.0,Comedy,60000000.0,2,40481,Luis Guzmán
55,6.0,Action,120000000.0,2,3131,Antonio Banderas
56,7.0,Drama,110000000.0,2,1233,Philip Seymour Hoffman
57,6.5,Drama,70000000.0,1,1231,Julianne Moore
58,6.5,Drama,110000000.0,2,55636,Donald Sutherland
59,6.5,Drama,50000000.0,2,2178,Forest Whitaker
60,6.5,Drama,170000000.0,1,5309,Judi Dench
61,6.0,Action,60000000.0,2,8891,John Travolta
62,6.5,Drama,70000000.0,2,207,Tom Wilkinson
63,6.0,Comedy,90000000.0,2,17401,Stephen Root
64,6.0,Drama,100000000.0,2,1241,John Turturro
65,6.5,Drama,40000000.0,2,3087,Robert Duvall
66,6.0,Drama,70000000.0,1,6944,Octavia Spencer
67,6.0,Comedy,30000000.0,2,36422,Luke Wilson
68,6.0,Action,110000000.0,2,5723,John Leguizamo
69,6.5,Comedy,30000000.0,1,2229,Catherine Keener
70,6.5,Drama,70000000.0,1,5064,Meryl Streep
71,6.0,Action,120000000.0,2,17051,James Franco
72,6.0,Drama,50000000.0,1,2227,Nicole Kidman
73,6.5,Action,50000000.0,2,3036,John Cusack
74,6.5,Comedy,130000000.0,2,19274,Seth Rogen
75,6.5,Comedy,160000000.0,1,41091,Kristen Wiig
76,6.5,Drama,70000000.0,2,228,Ed Harris
77,6.5,Drama,60000000.0,2,10297,Matthew McConaughey
78,6.5,Drama,210000000.0,2,3223,Robert Downey Jr.
79,6.0,Drama,40000000.0,2,18288,Terrence Howard
80,6.0,Comedy,80000000.0,2,517,Pierce Brosnan
81,6.0,Drama,60000000.0,2,2047,Danny Glover
82,6.5,Comedy,120000000.0,2,21007,Jonah Hill
83,6.5,Drama,160000000.0,2,3895,Michael Caine
84,6.5,Comedy,120000000.0,2,880,Ben Affleck
85,6.5,Comedy,100000000.0,2,3061,Ewan McGregor
86,6.0,Comedy,60000000.0,2,518,Danny DeVito
87,6.5,Drama,140000000.0,2,2039,Brendan Gleeson
88,6.5,Comedy,120000000.0,2,4483,Dustin Hoffman
89,6.5,Drama,150000000.0,2,103,Mark Ruffalo
90,6.5,Comedy,110000000.0,1,19,Allison Janney
91,6.5,Adventure,90000000.0,2,738,Sean Connery
92,6.0,Comedy,90000000.0,2,19292,Adam Sandler
93,6.0,Comedy,40000000.0,2,18324,Steve Zahn
94,6.0,Comedy,140000000.0,2,776,Eddie Murphy
95,6.5,Drama,100000000.0,2,2440,Bill Nighy
96,6.0,Comedy,70000000.0,1,69597,Drew Barrymore
97,6.5,Drama,100000000.0,2,38673,Channing Tatum
98,5.5,Comedy,100000000.0,1,2395,Whoopi Goldberg
99,6.0,Comedy,80000000.0,2,11006,James Marsden
100,6.0,Comedy,70000000.0,2,707,Dan Aykroyd
101,6.0,Comedy,90000000.0,2,23532,Jason Bateman
102,6.5,Drama,220000000.0,1,1245,Scarlett Johansson
103,6.5,Action,220000000.0,2,64,Gary Oldman
104,6.0,Comedy,120000000.0,1,15758,Queen Latifah
105,6.0,Action,90000000.0,2,976,Jason Statham
106,6.0,Comedy,120000000.0,1,20750,Judy Greer
107,6.5,Adventure,140000000.0,2,6968,Hugh Jackman
108,6.5,Drama,90000000.0,2,1269,Kevin Costner
109,6.5,Comedy,90000000.0,1,205,Kirsten Dunst
110,6.5,Comedy,220000000.0,1,9281,Elizabeth Banks
111,6.0,Action,70000000.0,2,53,Peter Stormare
112,6.0,Drama,20000000.0,2,5576,Val Kilmer
113,6.0,Action,40000000.0,2,11160,Danny Trejo
114,6.5,Drama,90000000.0,2,6384,Keanu Reeves
115,6.0,Comedy,60000000.0,2,26510,Eugene Levy
116,6.0,Drama,130000000.0,1,18277,Sandra Bullock
117,6.0,Action,60000000.0,2,418,Robert Patrick
118,6.5,Drama,60000000.0,2,9642,Jude Law
119,6.5,Action,70000000.0,2,6949,John Malkovich
120,6.5,Action,480000000.0,2,7624,Stan Lee
121,7.0,Drama,110000000.0,2,3894,Christian Bale
122,6.5,Drama,180000000.0,2,5469,Ralph Fiennes
123,6.5,Action,140000000.0,2,53650,Anthony Mackie
124,6.0,Action,80000000.0,2,17276,Gerard Butler
125,6.0,Comedy,80000000.0,1,3141,Marisa Tomei
126,6.5,Comedy,60000000.0,2,4724,Kevin Bacon
127,6.0,Drama,60000000.0,2,23626,Liev Schreiber
128,6.0,Comedy,60000000.0,2,4937,Vince Vaughn
129,6.0,Drama,20000000.0,2,13550,Elias Koteas
130,6.5,Drama,50000000.0,1,6885,Charlize Theron
131,6.5,Comedy,60000000.0,2,4492,Philip Baker Hall
132,6.0,Comedy,110000000.0,2,2632,Chris Rock
133,6.0,Drama,50000000.0,2,9777,Cuba Gooding Jr.
134,6.0,Comedy,70000000.0,2,31028,Richard Schiff
