,0,1
0,30485,236696
1,30485,98215
2,30485,42286
3,30485,68278
4,30485,65731
5,30485,42317
6,30485,10964
7,30485,10205
8,30485,59231
9,30485,32747
10,30485,1771
11,30485,15853
12,30485,17647
13,30485,8691
14,236696,98215
15,236696,42286
16,236696,68278
17,236696,65731
18,236696,42317
19,236696,10964
20,236696,10205
21,236696,59231
22,236696,32747
23,236696,1771
24,236696,15853
25,236696,17647
26,236696,8691
27,98215,42286
28,98215,68278
29,98215,65731
30,98215,42317
31,98215,10964
32,98215,10205
33,98215,59231
34,98215,32747
35,98215,1771
36,98215,15853
37,98215,17647
38,98215,8691
39,42286,68278
40,42286,65731
41,42286,42317
42,42286,10964
43,42286,10205
44,42286,59231
45,42286,32747
46,42286,1771
47,42286,15853
48,42286,17647
49,42286,8691
50,68278,65731
51,68278,42317
52,68278,10964
53,68278,10205
54,68278,59231
55,68278,32747
56,68278,1771
57,68278,15853
58,68278,17647
59,68278,8691
60,65731,42317
61,65731,10964
62,65731,10205
63,65731,59231
64,65731,32747
65,65731,1771
66,65731,15853
67,65731,17647
68,65731,8691
69,42317,10964
70,42317,10205
71,42317,59231
72,42317,32747
73,42317,1771
74,42317,15853
75,42317,17647
76,42317,8691
77,10964,10205
78,10964,59231
79,10964,32747
80,10964,1771
81,10964,15853
82,10964,17647
83,10964,8691
84,10205,59231
85,10205,32747
86,10205,1771
87,10205,15853
88,10205,17647
89,10205,8691
90,59231,32747
91,59231,1771
92,59231,15853
93,59231,17647
94,59231,8691
95,32747,1771
96,32747,15853
97,32747,17647
98,32747,8691
99,1771,15853
100,1771,17647
101,1771,8691
102,15853,17647
103,15853,8691
104,17647,8691
105,2440,2441
106,2440,2449
107,2440,2452
108,2440,939
109,2440,1709
110,2440,1711
111,2440,1714
112,2440,1715
113,2440,22075
114,2440,4030
115,2440,4031
116,2440,1619
117,2440,85
118,2440,33500
119,2440,1123
120,2440,1640
121,2440,114
122,2440,116
123,2440,1056117
124,2440,118
125,2440,2038
126,2440,378
127,2441,2449
128,2441,2452
129,2441,939
130,2441,1709
131,2441,1711
132,2441,1714
133,2441,1715
134,2441,22075
135,2441,4030
136,2441,4031
137,2441,1619
138,2441,85
139,2441,33500
140,2441,1123
141,2441,1640
142,2441,114
143,2441,116
144,2441,1056117
145,2441,118
146,2441,2038
147,2441,378
148,2449,2452
149,2449,939
150,2449,1709
151,2449,1711
152,2449,1714
153,2449,1715
154,2449,22075
155,2449,4030
156,2449,4031
157,2449,1619
158,2449,85
159,2449,33500
160,2449,1123
161,2449,1640
162,2449,114
163,2449,116
164,2449,1056117
165,2449,118
166,2449,2038
167,2449,378
168,2452,939
169,2452,1709
170,2452,1711
171,2452,1714
172,2452,1715
173,2452,22075
174,2452,4030
175,2452,4031
176,2452,1619
177,2452,85
178,2452,33500
179,2452,1123
180,2452,1640
181,2452,114
182,2452,116
183,2452,1056117
184,2452,118
185,2452,2038
186,2452,378
187,939,1709
188,939,1711
189,939,1714
190,939,1715
191,939,22075
192,939,4030
193,939,4031
194,939,1619
195,939,85
196,939,33500
197,939,1123
198,939,1640
199,939,114
200,939,116
201,939,1056117
202,939,118
203,939,2038
204,939,378
205,1709,1711
206,1709,1714
207,1709,1715
208,1709,22075
209,1709,4030
210,1709,4031
211,1709,1619
212,1709,85
213,1709,33500
214,1709,1123
215,1709,1640
216,1709,114
217,1709,116
218,1709,1056117
219,1709,118
220,1709,2038
221,1709,378
222,1711,1714
223,1711,1715
224,1711,22075
225,1711,4030
226,1711,4031
227,1711,1619
228,1711,85
229,1711,33500
230,1711,1123
231,1711,1640
232,1711,114
233,1711,116
234,1711,1056117
235,1711,118
236,1711,2038
237,1711,378
238,1714,1715
239,1714,22075
240,1714,4030
241,1714,4031
242,1714,1619
243,1714,85
244,1714,33500
245,1714,1123
246,1714,1640
247,1714,114
248,1714,116
249,1714,1056117
250,1714,118
251,1714,2038
252,1714,378
253,1715,22075
254,1715,4030
255,1715,4031
256,1715,1619
257,1715,85
258,1715,33500
259,1715,1123
260,1715,1640
261,1715,114
262,1715,116
263,1715,1056117
264,1715,118
265,1715,2038
266,1715,378
267,22075,4030
268,22075,4031
269,22075,1619
270,22075,85
271,22075,33500
272,22075,1123
273,22075,1640
274,22075,114
275,22075,116
276,22075,1056117
277,22075,118
278,22075,2038
279,22075,378
280,4030,4031
281,4030,1619
282,4030,85
283,4030,33500
284,4030,1123
285,4030,1640
286,4030,114
287,4030,116
288,4030,1056117
289,4030,118
290,4030,2038
291,4030,378
292,4031,1619
293,4031,85
294,4031,33500
295,4031,1123
296,4031,1640
297,4031,114
298,4031,116
299,4031,1056117
300,4031,118
301,4031,2038
302,4031,378
303,1619,85
304,1619,33500
305,1619,1123
306,1619,1640
307,1619,114
308,1619,116
309,1619,1056117
310,1619,118
311,1619,2038
312,1619,378
313,85,33500
314,85,1123
315,85,1640
316,85,114
317,85,116
318,85,1056117
319,85,118
320,85,2038
321,85,378
322,33500,1123
323,33500,1640
324,33500,114
325,33500,116
326,33500,1056117
327,33500,118
328,33500,2038
329,33500,378
330,1123,1640
331,1123,114
332,1123,116
333,1123,1056117
334,1123,118
335,1123,2038
336,1123,378
337,1640,114
338,1640,116
339,1640,1056117
340,1640,118
341,1640,2038
342,1640,378
343,114,116
344,114,1056117
345,114,118
346,114,2038
347,114,378
348,116,1056117
349,116,118
350,116,2038
351,116,378
352,1056117,118
353,1056117,2038
354,1056117,378
355,118,2038
356,118,378
357,2038,378
358,139549,17064
359,139549,543530
360,139549,27319
361,139549,121529
362,139549,5309
363,139549,2244
364,139549,8784
365,139549,5469
366,139549,28782
367,139549,2038
368,17064,543530
369,17064,27319
370,17064,121529
371,17064,5309
372,17064,2244
373,17064,8784
374,17064,5469
375,17064,28782
376,17064,2038
377,543530,27319
378,543530,121529
379,543530,5309
380,543530,2244
381,543530,8784
382,543530,5469
383,543530,28782
384,543530,2038
385,27319,121529
386,27319,5309
387,27319,2244
388,27319,8784
389,27319,5469
390,27319,28782
391,27319,2038
392,121529,5309
393,121529,2244
394,121529,8784
395,121529,5469
396,121529,28782
397,121529,2038
398,5309,2244
399,5309,8784
400,5309,5469
401,5309,28782
402,5309,2038
403,2244,8784
404,2244,5469
405,2244,28782
406,2244,2038
407,8784,5469
408,8784,28782
409,8784,2038
410,5469,28782
411,5469,2038
412,28782,2038
413,21505,53252
414,21505,77335
415,21505,535
416,21505,1574936
417,21505,539
418,21505,1580574
419,21505,22075
420,21505,64
421,21505,125025
422,21505,8293
423,21505,1359461
424,21505,40039
425,21505,20582
426,21505,15011
427,21505,192
428,21505,6365
429,21505,39659
430,21505,36594
431,21505,928532
432,21505,1813
433,21505,1098036
434,21505,3894
435,21505,3895
436,21505,3896
437,21505,83271
438,21505,1205623
439,21505,21416
440,21505,941
441,21505,10689
442,21505,1480130
443,21505,16841
444,21505,8654
445,21505,2524
446,21505,24045
447,21505,2037
448,21505,20469
449,21505,8191
450,53252,77335
451,53252,535
452,53252,1574936
453,53252,539
454,53252,1580574
455,53252,22075
456,53252,64
457,53252,125025
458,53252,8293
459,53252,1359461
460,53252,40039
461,53252,20582
462,53252,15011
463,53252,192
464,53252,6365
465,53252,39659
466,53252,36594
467,53252,928532
468,53252,1813
469,53252,1098036
470,53252,3894
471,53252,3895
472,53252,3896
473,53252,83271
474,53252,1205623
475,53252,21416
476,53252,941
477,53252,10689
478,53252,1480130
479,53252,16841
480,53252,8654
481,53252,2524
482,53252,24045
483,53252,2037
484,53252,20469
485,53252,8191
486,77335,535
487,77335,1574936
488,77335,539
489,77335,1580574
490,77335,22075
491,77335,64
492,77335,125025
493,77335,8293
494,77335,1359461
495,77335,40039
496,77335,20582
497,77335,15011
498,77335,192
499,77335,6365
500,77335,39659
501,77335,36594
502,77335,928532
503,77335,1813
504,77335,1098036
505,77335,3894
506,77335,3895
507,77335,3896
508,77335,83271
509,77335,1205623
510,77335,21416
511,77335,941
512,77335,10689
513,77335,1480130
514,77335,16841
515,77335,8654
516,77335,2524
517,77335,24045
518,77335,2037
519,77335,20469
520,77335,8191
521,535,1574936
522,535,539
523,535,1580574
524,535,22075
525,535,64
526,535,125025
527,535,8293
528,535,1359461
529,535,40039
530,535,20582
531,535,15011
532,535,192
533,535,6365
534,535,39659
535,535,36594
536,535,928532
537,535,1813
538,535,1098036
539,535,3894
540,535,3895
541,535,3896
542,535,83271
543,535,1205623
544,535,21416
545,535,941
546,535,10689
547,535,1480130
548,535,16841
549,535,8654
550,535,2524
551,535,24045
552,535,2037
553,535,20469
554,535,8191
555,1574936,539
556,1574936,1580574
557,1574936,22075
558,1574936,64
559,1574936,125025
560,1574936,8293
561,1574936,1359461
562,1574936,40039
563,1574936,20582
564,1574936,15011
565,1574936,192
566,1574936,6365
567,1574936,39659
568,1574936,36594
569,1574936,928532
570,1574936,1813
571,1574936,1098036
572,1574936,3894
573,1574936,3895
574,1574936,3896
575,1574936,83271
576,1574936,1205623
577,1574936,21416
578,1574936,941
579,1574936,10689
580,1574936,1480130
581,1574936,16841
582,1574936,8654
583,1574936,2524
584,1574936,24045
585,1574936,2037
586,1574936,20469
587,1574936,8191
588,539,1580574
589,539,22075
590,539,64
591,539,125025
592,539,8293
593,539,1359461
594,539,40039
595,539,20582
596,539,15011
597,539,192
598,539,6365
599,539,39659
600,539,36594
601,539,928532
602,539,1813
603,539,1098036
604,539,3894
605,539,3895
606,539,3896
607,539,83271
608,539,1205623
609,539,21416
610,539,941
611,539,10689
612,539,1480130
613,539,16841
614,539,8654
615,539,2524
616,539,24045
617,539,2037
618,539,20469
619,539,8191
620,1580574,22075
621,1580574,64
622,1580574,125025
623,1580574,8293
624,1580574,1359461
625,1580574,40039
626,1580574,20582
627,1580574,15011
628,1580574,192
629,1580574,6365
630,1580574,39659
631,1580574,36594
632,1580574,928532
633,1580574,1813
634,1580574,1098036
635,1580574,3894
636,1580574,3895
637,1580574,3896
638,1580574,83271
639,1580574,1205623
640,1580574,21416
641,1580574,941
642,1580574,10689
643,1580574,1480130
644,1580574,16841
645,1580574,8654
646,1580574,2524
647,1580574,24045
648,1580574,2037
649,1580574,20469
650,1580574,8191
651,22075,64
652,22075,125025
653,22075,8293
654,22075,1359461
655,22075,40039
656,22075,20582
657,22075,15011
658,22075,192
659,22075,6365
660,22075,39659
661,22075,36594
662,22075,928532
663,22075,1813
664,22075,1098036
665,22075,3894
666,22075,3895
667,22075,3896
668,22075,83271
669,22075,1205623
670,22075,21416
671,22075,941
672,22075,10689
673,22075,1480130
674,22075,16841
675,22075,8654
676,22075,2524
677,22075,24045
678,22075,2037
679,22075,20469
680,22075,8191
681,64,125025
682,64,8293
683,64,1359461
684,64,40039
685,64,20582
686,64,15011
687,64,192
688,64,6365
689,64,39659
690,64,36594
691,64,928532
692,64,1813
693,64,1098036
694,64,3894
695,64,3895
696,64,3896
697,64,83271
698,64,1205623
699,64,21416
700,64,941
701,64,10689
702,64,1480130
703,64,16841
704,64,8654
705,64,2524
706,64,24045
707,64,2037
708,64,20469
709,64,8191
710,125025,8293
711,125025,1359461
712,125025,40039
713,125025,20582
714,125025,15011
715,125025,192
716,125025,6365
717,125025,39659
718,125025,36594
719,125025,928532
720,125025,1813
721,125025,1098036
722,125025,3894
723,125025,3895
724,125025,3896
725,125025,83271
726,125025,1205623
727,125025,21416
728,125025,941
729,125025,10689
730,125025,1480130
731,125025,16841
732,125025,8654
733,125025,2524
734,125025,24045
735,125025,2037
736,125025,20469
737,125025,8191
738,8293,1359461
739,8293,40039
740,8293,20582
741,8293,15011
742,8293,192
743,8293,6365
744,8293,39659
745,8293,36594
746,8293,928532
747,8293,1813
748,8293,1098036
749,8293,3894
750,8293,3895
751,8293,3896
752,8293,83271
753,8293,1205623
754,8293,21416
755,8293,941
756,8293,10689
757,8293,1480130
758,8293,16841
759,8293,8654
760,8293,2524
761,8293,24045
762,8293,2037
763,8293,20469
764,8293,8191
765,1359461,40039
766,1359461,20582
767,1359461,15011
768,1359461,192
769,1359461,6365
770,1359461,39659
771,1359461,36594
772,1359461,928532
773,1359461,1813
774,1359461,1098036
775,1359461,3894
776,1359461,3895
777,1359461,3896
778,1359461,83271
779,1359461,1205623
780,1359461,21416
781,1359461,941
782,1359461,10689
783,1359461,1480130
784,1359461,16841
785,1359461,8654
786,1359461,2524
787,1359461,24045
788,1359461,2037
